cba,language,readability,diveristy,accessibility
viii-convenio-colectivo-sectorial-de-mbito-estatal-de-las-administraciones-de-loter-as-2019,es,2.75,2.75,2.75
acuerdo-de-pr-rroga-del-i-convenio-colectivo-de-administrador-de-infraestructuras-ferroviarias-2009---2010,es,2.5,2.5,2.5
convenio-colectivo-de-la-empresa-iss-facility-services-s-a-servicios-auxiliares-y-sus-trabajadores-2014---2016,es,2.5,2.75,2.62
convenio-colectivo-propio-acciona-multiservicios-sa-2013---2014,es,2.75,3.0,2.88
convenio-colectivo-de-oficinas-y-despachos-de-la-comunidad-de-madrid-2013---2017,es,2.75,2.75,2.75
acta-de-const-tuc-n-de-la-comisi-n-negociadora-del-v-convenio-colectivo-del-transporte-de-enfermos-y-accidentados-en-ambulancia-de-la-comunidad-de-madrid-2014---2016,es,4.0,3.25,3.62
primer-convenio-colectivo-del-personal-docente-e-investigador-con-contrato-laboral-de-las-universidades-p-blicas-de-andaluc-a-2008---2009,es,2.0,2.75,2.38
convenio-colectivo-de-hosteleria-de-bizkaia-a-os-2018-2020,es,2.0,3.25,2.62
convenio-colectivo-del-sector-de-comercio-textil-de-la-comunidad-aut-noma-de-madrid-suscrito-por-acotex-acitex-cc-oo-y-ugt-2016---2017,es,2.5,2.75,2.62
convenio-colectivo-del-comercio-vario-de-la-comunidad-de-madrid-para-el-a-o-2015-2016-y-2017,es,2.5,2.5,2.5
iv-convenio-colectivo-de-la-asociaci-n-aldeas-infantiles-sos-de-espa-a-2008---2011,es,2.5,2.75,2.62
xi-convenio-colectivo-de-mbito-estatal-de-centros-de-asistencia-y-educaci-n-infantil-2010---2013,es,2.5,2.75,2.62
convenio-colectivo-laboral-del-comercio-de-muebles-de-la-comunidad-de-madrid-2014---2017,es,3.0,2.5,2.75
xxi-convenio-colectivo-de-autoescuelas-2008---2009,es,3.0,2.5,2.75
convenio-colectivo-para-las-cajas-y-entidades-financieras-de-ahorro-2018,es,2.75,2.75,2.75
xxi-convenio-colectivo-para-las-sociedades-cooperativas-de-cr-dito-2015---2018,es,3.0,2.75,2.88
convenio-colectivo-general-de-mbito-estatal-para-las-entidades-de-seguros-reaseguros-y-mutuas-colaboradoras-con-la-seguridad-social-a-os-2016-a-2019,es,2.0,2.5,2.25
convenio-colectivo-nacional-del-ciclo-de-comercio-del-papel-y-artes-gr-ficas-2009-2012,es,3.0,2.5,2.75
convenio-colectivo-de-grandes-almacenes-2017-2020,es,2.75,2.75,2.75
ii-convenio-colectivo-nacional-de-servicios-de-prevenci-n-ajenos-2017---2018,es,2.0,2.75,2.38
convenio-marco-estatal-para-las-empresas-organizadoras-del-juego-del-bingo-2017-2018-2019,es,2.5,2.75,2.62
vi-convenio-colectivo-estatal-de-empresas-de-trabajo-temporal-2011-2020,es,2.0,2.75,2.38
ii-convenio-colectivo-de-mbito-estatal-del-sector-de-contact-center-2017---2019,es,2.5,2.75,2.62
convenio-colectivo-del-grupo-axa-2017-2020,es,3.5,2.5,3.0
xviii-convenio-colectivo-nacional-de-empresas-de-ingenier-a-y-oficinas-de-estudios-t-cnicos-2014-2017,es,2.5,3.0,2.75
convenio-colectivo-marco-para-los-establecimientos-financieros-de-cr-dito-2017-2018,es,2.0,2.5,2.25
convenio-colectivo-de-la-empresa-burger-king-spain-s-l-u-2017---2020,es,2.5,2.5,2.5
convenio-colectivo-banco-de-espa-a-2016-2017,es,3.0,2.75,2.88
acuerdo-mundial-iuf--uita-melia-hotels-international-s-a,es,2.0,3.5,2.75
acuerdo-mundial-entre-inditex-industria-de-dise-o-textil-s-a-y-uni-global-union-para-el-respeto-y-la-promoci-n-del-trabajo-digno-y-los-derechos-laborales-2009,es,2.75,3.0,2.88
acuerdo-marco-global-entre-industria-de-dise-o-textil-s-a-inditex-s-a-e-industriall-global-union-2014---2015,es,2.0,3.25,2.62
acuerdo-mundial-entre-codere-y-uni-global-union-para-el-respeto-y-la-promoci-n-del-trabajo-digno-y-los-derechos-laborales-2013---2015,es,2.25,3.25,2.75
v-acuerdo-laboral-de-mbito-estatal-para-el-sector-de-hosteler-a-2015-2019-con-acta-de-acuerdos-de-la-comision-negociadora-del-v-acuerdo-laboral-de-mbito-estatal-para-el-sector-de-hosteler-a-aleh-v-2019-2010,es,2.0,3.25,2.62
modelo-de-contrato-colectivo-para-la-tutela-de-los-derechos-de-las-trabajadoras-y-de-la-igualdad-de-g-nero-2016,es,2.0,2.25,2.12
convenio-colectivo-medianas-superficies-alimentacio-n-de-castilla-y-leo-n-2015-2019,es,3.5,3.0,3.25
convenio-colectivo-entre-lidl-supermercados-sau-y-de-otra-parte-por-los-sindicatos-m-s-representativos-smc-ugt-y-federaci-n-de-servicios-de-ccoo,es,3.5,2.75,3.12
convenio-colectivo-entre-mercadona-s-a-forns-valencians-forva-s-a-unipersonal-mena-supermercados-s-l-saskibe-s-l-y-de-otra-parte-por-las-sindicatos-m-s-representativos-u-g-t-y-cc-oo,es,2.5,2.5,2.5
convenio-colectivo-estatal-del-comercio-minorista-de-droguer-as-herborister-as-y-perfumer-as-2012-2016_1,es,2.25,2.5,2.38
convenio-colectivo-de-mbito-provincial-para-el-comercio-en-general-excepto-comercio-de-ganader-a-y-comercio-metal-de-palencia-2015-2017,es,3.75,2.75,3.25
convenio-colectivo-entre-las-empresas-del-grupo-vips-y-las-organizaciones-sindicales-cc-oo-fetico-y-ugt-2015-2018-,es,2.0,2.75,2.38
convenio-colectivo-estatal-de-grandes-almacenes-entre-la-asociaci-n-nacional-de-grandes-empresas-de-distribuci-n-anged-y-los-sindicatos-fasga-y-fetico,es,2.5,2.75,2.62
convenio-de-comercio-textil-para-la-provincia-de-alicante-2014-2016,es,2.5,3.0,2.75
-p-t-ipari-gazati-kollekt-v-szerz-d-s_2013,hu,4.0,3.0,3.43
m-v--start-zrt_2018,hu,2.33,2.25,2.29
aeek_msz-eddsz_2017,hu,3.67,3.0,3.29
dunaferr_2019,hu,2.0,2.75,2.43
vksz_2018,hu,1.0,2.25,1.71
gehungary_2013,hu,2.33,3.0,2.71
magyar-posta_2012,hu,4.0,2.25,3.0
az-egri-tanker-leti-k-zpont-k-znevel-si-int-zm-nyei_2017,hu,1.67,3.0,2.43
afesz-paks-es-videke-2013,hu,4.0,2.75,3.29
kksz_orszagos-takarekszovetkezet,hu,1.0,1.75,1.43
kollektiivleping-koos-lisadega-allkirjastatud-as-prisma-peremarket---2016,et,1.0,3.0,2.14
2016-07-01-kl-koos-lisadega-allkirjastatud,et,1.0,1.0,1.0
2012-kl-allkirjastatud,et,2.33,3.0,2.71
stockmanni-kl,et,3.67,1.0,2.14
convenci-n-colectiva-de-trabajo-entre-la-empresa-de-acueducto-y-alcantarillado-de-bogota--esp-eaab-esp-y-el-sindicato-de-trabajadores-y-empleados-de-servicios-p-blicos-corporaciones-aut-nomas-institutos-descentralizados-y-territoriales-de-colombia-sintraemsdes-2012---2014,es,2.0,3.0,2.5
convenci-n-colectiva-de-trabajo-suscrita-entre-la-empresa-cervecer-a-uni-n-s-a-y-el-sindicato-de-trabajadores-de-cervecer-a-uni-n-sintracervuni-n-2012-2016,es,3.0,3.25,3.12
convenci-n-colectiva-de-trabajo-entre-la-empresa-filmtex-s-a-s-y-el-sindicato-de-filmtex---sintrafilmtex-y-el-sindicato-nacional-de-trabajadores-de-la-industria-del-pl-stico-y-sus-derivados-sintraplastico,es,3.5,2.75,3.12
convenci-n-colectiva-de-trabajo-entre-el-banco-corpbanca-colombia-s-a-la-union-nacional-de-empleados-bancarios-uneb-la-asociaci-n-colombiana-de-empleados-bancarios-aceb-y-la-asociaci-n-democr-tica-de-empleados-del-sector-bancario-y-financiero-adeban-2013-2015-,es,3.0,3.0,3.0
convenci-n-colectiva-de-trabajo-entre-minipak-s-a-s-y-el-sindicato-de-trabajadores-de-minipak-s-a-sintraminipak,es,4.0,2.75,3.38
convencion-colectiva-de-trabajo-suscrita-entre-mayaguez-s-a-y-el-sindicato-de-trabajadores-de-la-industria-del-dulce-subdirectiva-de-candelaria-2012-2016,es,4.0,3.75,3.88
convenci-n-colectiva-de-trabajo-suscrita-entre-cooperativa-de-productores-de-leche-de-la-costa-atl-ntica-ltda-coolechera-y-el-sindicato-de-trabajadores-de-la-cooperativa-de-productores-de-leche-de-la-costa-atl-ntica-sintracoolechera-2012-2016,es,3.5,2.75,3.12
convenci-n-colectiva-de-trabajo-entre-la-caja-de-compensaci-n-familiar-de-antioquia-comfama-y-la-asociaci-n-de-empleados-comfama-asdemco-2014---2016,es,3.0,2.75,2.88
convenci-n-colectiva-de-trabajo-entre-la-empresa-supertiendas-y-droguer-as-ol-mpica-s-a-y-el-sindicato-de-trabajadores-de-supertiendas-y-droguer-as-ol-mpica-s-a-sintra-olimpica-a-o-2011-2014,es,3.5,3.75,3.62
convencion-colectiva-suscrita-entre-el-sindicato-de-trabajadores-de-la-organizaci-n-sanitas-internacional-sintraosi-y-las-sociedades-servicios-industriales-de-lavado-sil-s-a-s-medisanitas-s-a-compa-a-de-medicina-prepagada-salud-ocupacional-sanitas-s-a-s-clinica-campo-abierto-s-a-s-clinica-colsanitas-s-a-entidad-promotora-de-salud-sanitas-s-a-y-compa-a-de-medicina-prepagada---colsanitas-s-a-2013-2015,es,2.0,3.0,2.5
convenci-n-colectiva-de-trabajo-suscrita-entre-telmex-colombia-s-a-y-la-organizaci-n-sindical-sindicato-nacional-de-industria-de-las-comunicaciones-afines-y-del-transporte-sintracomunicaciones-2013-2015,es,3.5,3.0,3.25
modelo-de-convencion-colectiva-de-trabajo-creado-por-wageindicator-foundation--2016-,es,4.0,3.0,3.5
convenci-n-colectiva-de-trabajo-de-groupe-seb-colombia-s-a-planta-cajic-y-el-sindicato-de-trabajadores-de-groupe-seb-colombia-s-a-sintraseb-colombia-2013-2016,es,3.5,3.25,3.38
convencion-colectiva-de-trabajo-suscrita-entre-la-empresa-sepecol-ltda-y-el-sindicato-nacional-de-trabajadores-de-la-industria-de-la-vigilancia-y-seguridad-privada-sub-directiva-seccional-bogota-sintravip_-2015-2016,es,3.0,2.75,2.88
convenci-n-colectiva-de-trabajo-suscrita-entre-la-empresa-su-oportuno-servicio-s-o-s-ltday-el-sindicato-nacional-de-trabajadores-de-la-industria-de-la-vigilancia-y-seguridad-privada-sub-directiva-seccional-bogot-sintravip-,es,2.5,3.25,2.88
convencion-colectiva-de-trabajo-sintratempi-2014-2015,es,3.0,3.25,3.12
convenci-n-colectiva-de-trabajo-2013-2015-suscrita-entre-compa-a-de-galletas-noel-s-a-s-y-los-sindicatos-sintralimenticia-y-sinaltrainal,es,3.5,2.75,3.12
convenci-n-colectiva-celebrada-entre-la-empresa-saint-gobain-abrasivos-colombia-ltda-y-el-sindicato-de-trabajadores-de-saint-gobain-abrasivos-colombia-sintrasaint-gobain-abrasivos-colombia,es,4.0,2.75,3.38
el-acta-final-de-la-negociaci-n-de-el-municipal-de-santiago-de-cali,es,2.0,3.0,2.5
convencion-colectiva-de-trabajo-celebrada-entre-la-empresa-sanitaria-del-quindio-esaquin-s-a-e-s-p-y-el-sindicato-de-trabajadores-de-la-empresa-sanitaria-del-quindio-s-a-e-s-p-,es,3.0,3.5,3.25
acuerdo-colectivo-compango---percy-de-humberto-y-sindical-principales-sintraopuboy,es,2.5,2.75,2.62
convencion-colectiva-de-trabajo-celebrada-entre-bancolombia-s-a-y-los-sindicatos-sintrabancol-y-uneb,es,3.5,2.5,3.0
acta-de-acuerdo-colectivo-suscrito-entre-la-secretaria-distrital-de-cultura-recreaci-n-y-deporte-scrd---instituto-distrital-de-las-artes-idartes-y-el-sindicato-de-servidores-p-blicos-de-la-secretar-a-distrital-de-cultura-recreaci-n-y-deporte-entidades-adscritas-y-vinculada-sintracultur-,es,2.0,3.0,2.5
convencion-colectiva-de-trabajo-suscrita-entre-el-gun-club-y-el-sindicato-hocar-seccional-bogota-2013-2015,es,3.75,3.5,3.62
sindicato-de-trabajadores-oficiales-y-empleados-p-blicos-del-departamento-de-arauca-sintrarauca-,es,2.0,2.75,2.38
convenci-n-colectiva-de-trabajo-suscrita-entre-la-empresa-club-infantas-y-el-sindicato-nacional-de-trabajadores-de-la-produccion-distribucion-y-consumo-de-alimentos-y-bebidas-en-clubes-hoteles-restaurantes-y-similares-de-colombia-hocar-,es,4.0,2.5,3.25
convenci-n-colectiva-de-trabajo-2014-2016-sindicato-nacional-de-trabajadores-de-la-empresa-comercial-nutresas-a-s-sintranutresa-,es,4.0,2.75,3.38
convencion-colectiva-de-trabajo-sintramunicipio,es,3.5,2.75,3.12
convencion-colectiva-de-trabajo-bimbo-colombia-s-a,es,3.0,2.75,2.88
decima-segunda-convencion-colectiva-de-trabajo-celebrada-entre-empitalito-e-s-p-y-el-sindicato-de-trabajadores-oficiales-de-la-misma-para-la-vigencia-de-los-anos-2012-2013-2014-y-2015,es,3.5,2.75,3.12
convenci-n-colectiva-de-trabajo-suscrita-entre-filmtex-s-a-s-y-el-sindicato-de-trabajadores-de-filmtex-s-a-s-sintrafilmtex-y-el-sindicato-nacional-de-trabajadores-de-la-industria-del-pl-stico-y-sus-derivados-sintraplastico,es,3.5,3.25,3.38
contrato-colectivo-de-trabajo-celebrado-entre-petr-leos-mexicanos-y-el-sindicato-de-trabajadores-petroleros-de-la-rep-blica-mexicana---2017---2019,es,3.5,3.0,3.25
contrato-colectivo-de-trabajo-2016---2018,es,2.75,3.0,2.88
collective-bargaining-agreement-between-nu-tread-as-company-and-transport-general-workers-union-as-trade-union-representing-the-workers-on-basic-wage-negotiation---2016,en,2.0,3.0,2.5
collective-bargaining-agreement-between-water-boards-and-water-employees-trade-union-of-malawi---2014,en,3.0,3.0,3.0
recognition-agreement-between-sunbird-tourism-limited-and-the-hotel-food-processing-and-catering-workers-union,en,2.0,2.75,2.38
skanska_2014,pl,2.0,2.75,2.43
pracownik-w-nie-b-d-cych-nauczycielami_szko-ach-i-plac-wkach_-d-_2009,pl,4.33,3.5,3.86
zak-adowy-uklad-zbiorowy-pracy-dla-pracownikow-kghm-polska-miedz_2017,pl,4.0,2.25,3.0
ponadzak-adowy-uk-ad-zbiorowy-pracy-dla-pracownik-w-park-w-narodowych_2013,pl,3.0,2.75,2.86
veolia_2017,pl,2.33,2.5,2.43
philip-morris_2005,pl,1.0,2.25,1.71
bnp_paribas_2016,pl,2.67,2.5,2.57
zywiec_2010,pl,2.0,2.25,2.14
leonardo_2012,pl,3.67,3.0,3.29
arcelor-mittal_2017,pl,1.0,2.25,1.71
memorandum-of-settlement-between-tip-and-tip-employees-and-workers-union---1999,en,4.0,3.25,3.62
memorandum-of-settlement-between-tip-and-tip-employees-and-workers-union---1991,en,4.0,3.5,3.75
memorandum-of-settlement-between-allied-bank-limited-and-allied-bank-worker-s-federation-of-pakistan---2008,en,3.75,3.0,3.38
memorandum-of-settlement-between-shell-pakistan-limited-and-shell-employees-union---2006,en,3.5,3.25,3.38
memorandum-of-agreement-between-pakistan-cables-limited-and-pakistan-cables-employees-union---2014,en,3.5,3.75,3.62
memorandum-of-settlement-between-ferozsons-laboratories-limited-and-fersrozsons-workers-union---2000,en,3.75,3.5,3.62
memorandum-of-agreement-between-habibulllah-coal-mining-company-and-habibullah-coal-mining-company-workers-union---2009,en,4.0,3.0,3.5
memorandum-of-settlement-between-habib-bank-limited-and-habib-bank-workers-front-of-pakistan---2009,en,4.0,3.25,3.62
collective-bargaining-agreement-between-atlas-honda-limited-and-atlas-honda-limited-mehnatkash-union---2014,en,4.0,4.0,4.0
memorandum-of-settlement-between-helix-pharma-ltd-and-helix-pharma-ltd-employees-union---2014,en,4.0,3.25,3.62
memorandum-of-settlement-between-archroma-pakistan-limited-and-archroma-pak-employees-union---2014,en,4.0,3.25,3.62
memorandum-of-agreement-settlement-between-abbott-laboratories-pakistan-limited-and-all-pakistan-abbott-laboratories-employees-union---2014,en,4.0,3.0,3.5
collective-bargaining-agreement-between-pakistan-refinery-limited-and-pakistan-refinery-employees-union---2013,en,3.5,3.0,3.25
agreement-settlement-between-atlas-engineering-limited-and-atlas-engineering-workers-union-cba---2012,en,2.25,3.75,3.0
memorandum-of-agreement-between-futehally-chemicals-private-limited-and-futehally-chemicals-mehnatkash-union---2013,en,2.0,3.5,2.75
memorandum-of-settlement-between-ghandhara-nissan-limited-and-ghandhara-nissan-limited-workers-union---2011,en,3.75,4.0,3.88
memorandum-of-settlement-between-lucky-textile-mills-and-lucky-textile-mills-behbood-e-madoor-union---2008,en,4.0,3.0,3.5
memorandum-of-settlement-between-murree-brewery-company-limited-and-muree-brewery-workers-union---2013,en,4.0,3.75,3.88
memorandum-of-settlement-between-bata-pakistan-ltd-and-pakistan-bata-employees-union---2014,en,4.0,2.75,3.38
memorandum-of-settlement-between-packages-limited-and-packages-limited-workers-union---2014,en,4.0,4.0,4.0
memorandum-of-settlement-between-rafhan-best-foods-ltd-and-the-employees-union-rafhan-best-foods-ltd---2012,en,3.5,3.25,3.38
collective-agreement-between-sona-welfare-foundation-rawalpindi-and-employees-union-sona-welfare-foundation-regd-district-rawalpindi---2013---2013,en,2.5,3.0,2.75
memorandum-of-settlement-between-allied-bank-limited-and-allied-bank-workers-federation-of-pakistan---2013,en,4.0,4.0,4.0
memorandum-of-agreement-between-glaxosmithkline-pakistan-limited-and-glaxosmithkline-pakistan-employees-union---2013,en,4.0,2.5,3.25
memorandum-of-agreement-between-nimir-chemicals-pakistan-limited-and-shaheen-workers-union-nimir-chemicals-pakistan-limited---2013,en,3.5,3.0,3.25
memorandum-of-settlement-between-philip-morris-pakistan-ltd-and-pak-employees-union---2013,en,2.0,3.25,2.62
memorandum-of-settlement-between-shell-pakistan-limited-and-shell-employees-union---2015,en,2.5,3.25,2.88
memorandum-of-settlement-between-adamjee-engineering-private-limited-and-adamjee-engineering-works-employees-union---2014,en,2.5,3.75,3.12
memorandum-of-settlement-between-atlas-battery-limited-and-the-atlas-group-of-companies-workers-union---2015,en,4.0,3.0,3.5
agreement-settlement-between-union-of-associated-industries-limited---2009,en,2.0,3.0,2.5
agreement-settlement-between-union-of-associated-industries-limited---2008,en,2.0,3.5,2.75
agreement-settlement-between-union-of-associated-industries-limited---2003,en,2.0,3.25,2.62
agreement-settlement-between-union-of-associated-industries-limited---2001,en,2.5,3.25,2.88
memorandum-of-settlement-between-fatima-fertilizer-company-limited-and-workers-union-fatima-fertilizer-company-limited---2014,en,2.25,3.25,2.75
memorandum-of-agreement-between-dynea-pakistan-limited-hub-unit-and-dynea-pakistan-labour-union---2014,en,2.5,3.0,2.75
memorandum-of-settlement-between-unilever-pakistan-limited-and-unilever-employees-federation-of-pakistan---2012,en,2.75,3.5,3.12
collective-agreement-between-pak-arab-refinery-ltd-and-parco-workers-union---2012,en,3.5,3.5,3.5
memorandum-of-agreement-between-macter-international-ltd-and-macter-international-employees-union---2013,en,4.0,2.5,3.25
memorandum-of-settlement-between-united-bank-ltd-and-united-bank-ltd-employees-workmen-union---2013,en,4.0,3.25,3.62
memorandum-of-settlement-between-muller-phipps-pakistan-pvt-ltd-and-muller-phipps-pakistan-pvt-ltd-employees-union---2013,en,3.5,3.0,3.25
memorandum-of-settlement-between-muller-phipps-pakistan-pvt-ltd-and-muller-phipps-pakistan-pvt-ltd-employees-union---2015,en,4.0,3.75,3.88
memorandum-of-settlement-between-pakistan-oil-fields-limited-and-united-workers-union-pakistan-oil-fields-limited---2013,en,4.0,3.75,3.88
memorandum-of-settlement-between-sui-southern-gas-company-ltd-and-people-labour-union-of-sui-southern-gas-company-ltd---2010,en,3.5,2.75,3.12
memorandum-of-agreement-between-phoenix-armour-pvt-ltd-and-phoenix-armour-employees-union---2013,en,4.0,3.0,3.5
memorandum-of-settlement-between-pakistan-national-shipping-corporation-pnsc-and-pnsc-workmen-union-cba---2014,en,4.0,3.0,3.5
memorandum-of-agreement-between-the-searle-company-limited-and-searle-pakistan-ltd-employees-union---2014,en,2.0,3.5,2.75
memorandum-of-agreement-between-procon-engineering-pvt-ltd-and-procon-employees-union-c-b-a---2015,en,4.0,3.25,3.62
memo-of-agreement-between-exide-pakistan-ltd-battery-division-and-exide-batteries-employees-union---2013,en,3.5,3.25,3.38
memorandum-of-agreement-between-trading-corporation-of-pakistan-ltd-and-trading-corporation-of-pakistan-employees-union---2012,en,3.75,3.0,3.38
memorandum-of-settlement-between-rafhan-best-foods-limited-and-rafhan-best-foods-limited-employees-union-kasur---2012,en,3.5,3.25,3.38
memorandum-of-settlement-between-singer-pakistan-ltd-and-singer-industries-labour-union---2013,en,2.5,3.0,2.75
memorandum-of-settlement-between-unilever-pakistan-foods-ltd-and-the-shaheen-workers-union-unilever-pakistan-foods-ltd---2014,en,4.0,3.25,3.62
memorandum-of-settlement-between-karam-ceramics-ltd-and-karam-ceramics-ltd-employees-union---2015,en,3.0,3.5,3.25
memorandum-of-agreement-between-phoenix-armour-pvt-ltd-and-phoenix-armour-workers-union---2015,en,4.0,2.5,3.25
memorandum-of-agreement-between-hamsons-industries-landhi-unit-and-hamsons-industries-landhi-unit-workers-union---2012,en,4.0,3.5,3.75
memorandum-of-agreement-between-glaxosmithkline-pakistan-limited-and-glaxosmithkline-pakistan-limited-labour-union-pakistan---2011,en,4.0,3.5,3.75
memorandum-of-settlement-between-singer-pakistan-limited-and-singer-industries-labour-union---2015,en,2.5,3.25,2.88
memorandum-of-settlement-mondelez-pakistan-limited-and-cadbury-pakistan-progressive-employees-union---2012,en,3.5,3.25,3.38
memorandum-of-settlement-between-allied-bank-limited-and-allied-bank-worker-s-federation-of-pakistan---2011,en,4.0,3.75,3.88
memorandum-of-agreement-between-universal-mines-lakhra-coal-mines-field-and-universal-mines-worker-s-union---2009,en,4.0,3.0,3.5
memorandum-of-agreement-between-karim-buksh-coal-mines-khanote-and-karim-buksh-coal-mine-workers-union---2009,en,4.0,3.0,3.5
memorandum-of-agreement-between-abdul-qadar-rajar-coal-mines-and-abdul-qadar-mines-workers-union---2009,en,4.0,3.0,3.5
memorandum-of-settlement-between-regent-plaza-hotel-convention-centre-and-regent-plaza-hotel-convention-centre-labour-union---2013,en,4.0,3.0,3.5
memorandum-of-agreement-between-karim-bux-coal-mines-khanote-and-karim-bux-coal-mine-workers-union---2011,en,4.0,3.0,3.5
memorandum-of-agreement-between-muhammad-jamil-and-co-pvt-ltd-and-muhammad-jamil-company-workers-union-lakhra---2012,en,4.0,3.0,3.5
memorandum-of-agreement-between-helix-pharma-pvt-ltd-and-helix-pharma-pvt-ltd-employees-union---2012,en,3.5,4.25,3.88
memorandum-of-settlement-between-mohammad-irfan-coal-mines-lakhra-and-mohammad-irfan-coal-mines-worker-s-union-lakhra---2011,en,4.0,3.0,3.5
memorandum-of-settlement-between-m-s-jaffer-brothers-private-limited-and-m-s-jaffer-brothers-private-limited-employees-union---2011,en,3.25,4.0,3.62
unilever-pakistan-ltd---2010,en,2.0,3.0,2.5
pakistan-gum-industries-pvt-ltd---2013,en,4.0,3.0,3.5
trading-corporation-of-pakistan-ltd---2011,en,4.0,3.0,3.5
international-foundation-garments-pvt-ltd---2012,en,4.0,3.0,3.5
reckitt-benckiser-ltd---2012,en,2.5,4.25,3.38
memorandum-of-agreement-between-m-s-jehangir-services-private-limited-and-jehangir-services-limited-employees-union---2013,en,3.75,3.5,3.62
memorandum-of-settlement-between-m-s-kohinoor-soap-detergents-pvt-ltd-and-m-s-kohinoor-soap-detergents-pvt-ltd-employees-union---2014,en,3.75,3.75,3.75
memorandum-of-settlement-between-m-s-jaffer-brothers-private-limited-and-m-s-jaffer-brothers-private-limited-employees-union---2014,en,3.25,4.25,3.75
memorandum-of-settlement-between-dadex-eternit-ltd-and-dadex-eternit-ltd-workers-union---2009,en,4.0,3.0,3.5
memorandum-of-settlement-between-all-pakistan-sports-board-employees-union-cba-and-pakistan-sports-board-islamabad---2012,en,3.5,3.5,3.5
memorandum-of-settlement-between-feroze1888-mills-limited-and-feroze1888-mazdoor-dost-union---2012,en,4.0,3.0,3.5
memorandum-of-settlement-between-international-foundation-garments-and-international-foundation-garments-united-workers-union---2014,en,4.0,2.75,3.38
-sunway-hotel---2010,km,1.0,3.0,2.14
-regency-intercontinental---2012,km,2.33,1.0,1.57
---darong---2009,km,1.0,2.0,1.57
-sabrina---2009,km,1.0,1.0,1.0
collective-agreement-cambodiana,km,3.67,2.0,2.71
collective-bargaining-agreement-between-international-airport-independence-employees-union-siem-reap-airport-cambodia-tourism-industry-worker-trade-union-and-cambodia-airport-management-services,en,2.0,2.5,2.25
tho-c-lao-lao-ng-t-p-th-cnctcptbs-fococev-nh-m-y-tinh-b-t-s-n-s-n-la-c-ng-ho-x-h-i-ch-ngh-a-vi-t-nam---2012,vi,1.0,1.0,1.0
th-a-c-lao-ng-t-p-th-ban-qu-n-l-khu-kinh-t-h-i-ph-ng-c-ng-ty-tnhh-ojitex-h-i-ph-ng-c-ng-h-a-x-h-i-ch-ngh-a-vi-t-nam---2015,vi,1.0,1.0,1.0
th-a-c-lao-ng-t-p-th-b-x-y-d-ng-t-ng-c-ng-ty-vlxd-s-1-ctcp-c-ng-h-a-x-h-i-ch-ngh-a-vi-t-nam---2016,vi,1.0,3.0,2.14
th-a-c-lao-ng-t-p-th-t-p-o-n-c-ng-nghi-p-cao-su-vi-t-nam,vi,5.0,3.0,3.86
th-a-c-lao-ng-t-p-th-ng-nh-d-t-may-vi-t-nam,vi,1.0,1.0,1.0
collective-agreement-between-the-zambia-public-procurement-authority-and-the-zambia-union-of-financial-institutions-and-allied-workers---2015,en,2.5,2.5,2.5
collective-agreement-between-bank-of-zambia-boz-and-zambia-union-of-financial-institutions-and-allied-workers---2016,en,2.5,2.75,2.62
memorandum-of-collective-agreement-between-zambia-national-commercial-bank-plc-and-zambia-union-of-financial-institutions-and-allied-workers---2016,en,2.5,3.25,2.88
memorandum-of-collective-agreement-between-standard-chartered-bank-zambia-plc-and-the-zambia-union-of-financial-institutions-and-allied-workers---2016,en,2.75,2.5,2.62
memorandum-of-collective-recognition-agreement-between-first-alliance-bank-z-ltd-and-zambia-union-of-financial-institution-and-allied-workers-union-zufiaw---2000,en,2.5,3.25,2.88
collective-agreement-for-2016-17-salary-increment-between-zambia-national-building-society-and-zambia-union-of-financial-institutions-and-allied-workers---2016,en,2.0,3.0,2.5
addendum-to-the-collective-agreement-between-the-zsic-limited-it-s-subsidiaries-and-zambia-union-of-financial-institutions-and-allied-workers-zufiaw---2017,en,3.25,3.0,3.12
addendum-to-the-collective-agreement-for-union-represented-workers-compensation-fund-control-board---2017,en,3.0,3.25,3.12
addendum-to-the-collective-agreement-between-the-public-service-pensions-fund-board-pspfb-and-zambia-union-of-financial-institutions-and-allied-workers-zufiaw---2017,en,3.5,2.5,3.0
collective-agreement-between-the-pensions-and-insurance-authority-and-the-zambia-union-of-financial-institutions-and-allied-workers---2016,en,4.0,2.75,3.38
memorandum-of-collective-agreement-between-first-alliance-bank-z-limited-and-zambia-union-of-financial-institutions-and-allied-workers---2016,en,3.25,2.5,2.88
memorandum-of-collective-agreement-between-barclays-bank-zambia-pic-and-the-zambia-union-of-financial-institutions-and-allied-workers-2015---2016,en,2.5,2.75,2.62
memorandum-of-collective-agreement-between-indo-zambia-bank-limited-and-zambia-union-of-financial-institutions-and-allied-workers---2016,en,3.25,3.25,3.25
collective-agreement-between-national-pension-scheme-authority-and-zambia-union-of-financial-institutions-and-allied-workers---2014,en,3.0,3.0,3.0
collective-agreement-made-between-zambia-national-building-society-and-zambia-union-of-financial-institutions-and-allied-workers---2015,en,3.25,3.0,3.12
collective-agreement-between-the-workers-compensation-fund-control-board-and-the-zambia-union-of-financial-institutions-and-allied-workers---2014,en,2.5,3.25,2.88
